"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","threshold"
"EIF4A2",2.34314122217277e-08,-0.432108576994759,0.128,0.183,0.00114774086485689,"ns"
"CHCHD10",2.3437796072965e-08,-0.84947294401934,0.055,0.093,0.00114805356504205,"ns"
"BACE2",2.3517287699999e-08,-1.0705912424909,0.018,0.043,0.00115194730340905,"down"
"DPP10",2.40032204776188e-08,-0.309441323966256,0.439,0.517,0.0011757497486552,"ns"
"CAMK1D",2.43068023045953e-08,-0.270499786436073,0.279,0.359,0.00119062009728599,"ns"
"RP11-561I11.4",2.45880002953529e-08,-0.452665192910226,0.115,0.168,0.00120439401846727,"ns"
"ATP5EP2",2.51781224500333e-08,0.899930024682854,0.142,0.1,0.00123329997196998,"ns"
"RP11-553L6.5",2.55632753295951e-08,0.86893489635563,0.194,0.153,0.00125216591546956,"ns"
"COL4A2",2.55789580797686e-08,-0.819573837899956,0.045,0.081,0.00125293410362131,"ns"
"RPL14",2.64750611874932e-08,-0.658883490401315,0.074,0.118,0.00129682792214698,"ns"
"MPRIP-AS1",2.73883718874519e-08,-1.58351897743937,0.005,0.022,0.00134156462016306,"down"
"CTD-2368P22.1",2.75694468359077e-08,-0.619874556564049,0.029,0.06,0.00135043421436327,"ns"
"NDUFS8",2.77007941913836e-08,-0.760788978106232,0.038,0.072,0.00135686800187654,"ns"
"TNRC6B",2.9162067539593e-08,0.339334719397054,0.504,0.473,0.00142844555429188,"ns"
"MZT2B",2.96898556185221e-08,-1.17858617742193,0.023,0.051,0.00145429819776207,"down"
"DDT",3.00006061444384e-08,-1.07831469675345,0.014,0.038,0.00146951969077303,"down"
"AL590617.2",3.05955171790784e-08,-8.04175207318463,0,0.012,0.0014986602179828,"down"
"ADGRB2",3.05955177538918e-08,-8.0447094253133,0,0.012,0.00149866024613888,"down"
"CARD19",3.05955177538918e-08,-8.07141500500694,0,0.012,0.00149866024613888,"down"
"CRPPA",3.05955183287051e-08,-8.16677854684591,0,0.012,0.00149866027429496,"down"
"DENND11",3.05955183287051e-08,-7.87652164104893,0,0.012,0.00149866027429496,"down"
"WASHC3",3.05955183287051e-08,-8.09415690519147,0,0.012,0.00149866027429496,"down"
"TMEM91",3.05955183287051e-08,-8.1284506440971,0,0.012,0.00149866027429496,"down"
"NEXMIF",3.05955183287051e-08,-8.23750692557157,0,0.012,0.00149866027429496,"down"
"EIF3J",3.18055003355208e-08,-0.771901924106037,0.038,0.072,0.00155792882293481,"ns"
"DDIT4",3.22699088170832e-08,1.1271023303116,0.122,0.084,0.00158067694358719,"up"
"APOL4",3.23727444182651e-08,-3.46113206096567,0.001,0.014,0.00158571413983988,"down"
"KDM6B",3.29490518402058e-08,-1.91132626952329,0.006,0.024,0.0016139434062888,"down"
"LINC00174",3.320460071028e-08,-0.434550948853676,0.06,0.102,0.00162646095659164,"ns"
"FAM173B",3.33250043813071e-08,1.57183737512744,0.052,0.026,0.00163235868960957,"up"
"RP11-417F21.1",3.36724490019592e-08,-0.472377493053551,0.049,0.087,0.00164937756946297,"ns"
"RLF",3.37081755085951e-08,-0.36605687646473,0.125,0.181,0.00165112756093751,"ns"
"IFI44L",3.41700034427897e-08,-1.5039444453453,0.007,0.026,0.00167374927863817,"down"
"KMT2E",3.43969438364052e-08,-0.283860028748247,0.21,0.282,0.00168486549993863,"ns"
"TRIM47",3.56227529838509e-08,-0.441722116339695,0.059,0.1,0.00174490930940797,"ns"
"CDC42BPB",3.56308085438034e-08,-0.411700487498229,0.089,0.137,0.00174530389490112,"ns"
"SMDT1",3.63847463502845e-08,-1.21191699268223,0.012,0.035,0.00178223403047599,"down"
"BPGM",3.80600791206791e-08,-0.817531346660284,0.029,0.059,0.00186429685556823,"ns"
"DOK6",3.83179900083055e-08,-0.737373478410278,0.032,0.064,0.00187693010457683,"ns"
"TUBGCP6",3.87048384862491e-08,-0.933026157131147,0.03,0.06,0.00189587910357194,"ns"
"MRPL55",3.89435712329235e-08,-0.934399484803444,0.022,0.049,0.00190757294970229,"ns"
"CORO2B",3.92634649217266e-08,-0.384573612741099,0.128,0.184,0.00192324230226094,"ns"
"VEGFA",3.98801971657998e-08,-0.405172889064607,0.194,0.26,0.00195345169777237,"ns"
