"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","threshold"
"ERO1A",3.84661593272905e-08,-7.98265692519903,0,0.013,0.00188418788232867,"down"
"AL139317.5",3.84661593272905e-08,-7.91544941844229,0,0.013,0.00188418788232867,"down"
"AC245060.5",3.84661593272905e-08,-8.24266329023414,0,0.013,0.00188418788232867,"down"
"AL683813.1",3.84661593272905e-08,-8.05185222260728,0,0.013,0.00188418788232867,"down"
"KCNE4",3.84696945815993e-08,0.838354044263595,0.056,0.028,0.00188436104969048,"ns"
"ARHGAP31",3.94257693589053e-08,0.300212912680122,0.325,0.257,0.00193119246050726,"ns"
"CABLES1",3.98064330182371e-08,0.309422966813458,0.57,0.503,0.00194983850853231,"ns"
"ARFGAP1",4.08229205478999e-08,-0.869080773988747,0.084,0.128,0.00199962911719778,"ns"
"FIGN",4.10002793248619e-08,0.318165637805443,0.351,0.285,0.00200831668216971,"ns"
"PRMT3",4.10925702916552e-08,0.533986071644284,0.125,0.081,0.00201283737059615,"ns"
"FER",4.17613997750262e-08,0.254969048524083,0.405,0.333,0.00204559864518011,"ns"
"PAPOLA",4.398437042496e-08,0.369476949787656,0.163,0.112,0.00215448641652582,"ns"
"RHBDL2",4.52440430181537e-08,-0.889882711913648,0.069,0.112,0.00221618895915822,"ns"
"AKAP12",4.63207075793675e-08,-0.856301517352213,0.153,0.203,0.00226892721936016,"ns"
"RP11-23D24.2",4.63422654548945e-08,0.586167515197723,0.107,0.067,0.0022699831887771,"ns"
"TLCD4",5.30113387838255e-08,-8.02306719162843,0,0.013,0.00259665440764812,"down"
"FAM106A",5.30113397535694e-08,-8.05891712699259,0,0.013,0.00259665445514909,"down"
"AC245297.3",5.30113407233131e-08,-7.90508477060946,0,0.013,0.00259665450265005,"down"
"CDKL3",5.30113407233131e-08,-8.00523063281897,0,0.013,0.00259665450265005,"down"
"AC068888.1",5.30113407233131e-08,-8.00357664050592,0,0.013,0.00259665450265005,"down"
"FDPS",5.47001998092488e-08,-0.546334928520302,0.125,0.179,0.00267937988725644,"ns"
"ABHD3",6.02683535727405e-08,0.448931342937568,0.162,0.113,0.00295212476305355,"ns"
"ZFAND5",6.5635564529317e-08,0.369681384761352,0.259,0.2,0.00321502685733953,"ns"
"AP3B1",6.72177916219971e-08,0.362981613454823,0.251,0.193,0.00329252908702028,"ns"
"VTI1A",6.7314029052924e-08,0.30515262709935,0.331,0.265,0.00329724308509938,"ns"
"THADA",6.98785282418438e-08,0.368597588432398,0.224,0.167,0.00342285994887023,"ns"
"BRE",7.18466005455106e-08,0.279594224842381,0.288,0.226,0.00351926203452075,"ns"
"PACS1",7.2780270810178e-08,0.278395750941771,0.348,0.282,0.00356499600509495,"ns"
"MIA2",7.30629238019206e-08,-7.82650120039866,0,0.013,0.00357884119658947,"down"
"ALDH4A1",7.30629238019206e-08,-8.16556297548027,0,0.013,0.00357884119658947,"down"
"ERF",7.30629238019206e-08,-8.03805001530221,0,0.013,0.00357884119658947,"down"
"MIR3936HG",7.30629251388527e-08,-7.90269617321723,0,0.013,0.00357884126207642,"down"
"VPS13B-DT",7.30629251388527e-08,-8.01260359948514,0,0.013,0.00357884126207642,"down"
"SHLD2",7.30629251388527e-08,-8.12432455022818,0,0.013,0.00357884126207642,"down"
"EXOC6B",7.42300985965775e-08,0.22807800158848,0.463,0.389,0.00363601291955616,"ns"
"SCG3",7.72775045431136e-08,-0.488672767683385,0.335,0.385,0.00378528400503533,"ns"
"JMY",8.04107545535597e-08,0.638906601117529,0.127,0.084,0.00393875999029701,"ns"
"TAPT1-AS1",8.05014059133384e-08,0.26226391443482,0.286,0.221,0.00394320036585306,"ns"
"RPL34P18",8.317399576118e-08,0.411758329597401,0.141,0.096,0.00407411183436988,"ns"
"AC016739.2",8.56852665385299e-08,0.429938997285394,0.199,0.146,0.00419712141085681,"ns"
"COX10",8.69548484937686e-08,0.742956969850046,0.07,0.039,0.00425930934377027,"ns"
"KIAA1958",8.73546517569709e-08,0.307647918243921,0.357,0.288,0.00427889290701171,"ns"
"TTTY10",8.7449551652502e-08,0.703624078797318,0.076,0.043,0.00428354138859451,"ns"
"RHOBTB3",8.86813309823976e-08,0.220826327905729,0.368,0.299,0.00434387763551078,"ns"
"ACTG1",8.91945727213094e-08,-0.556563306001201,0.264,0.318,0.0043690177556079,"ns"
"FAM85B",9.13599279293846e-08,0.416215055444618,0.162,0.114,0.00447508334976505,"ns"
"ZNF521",9.21292205539057e-08,0.332228406439499,0.272,0.211,0.00451276561039196,"ns"
"STMN1",9.2403112946175e-08,-0.571670811638316,0.206,0.263,0.00452618168144249,"ns"
"APOE",9.53666122423536e-08,-0.425285498715667,0.484,0.545,0.00467134276746721,"ns"
"NCBP3",1.00708713935843e-07,-8.03503910715254,0,0.013,0.00493301493471942,"down"
"TMBIM4",1.00708715779221e-07,-7.85176898757281,0,0.013,0.0049330150250136,"down"
"AC008771.1",1.00708715779221e-07,-7.64923823421089,0,0.013,0.0049330150250136,"down"
"SEPTIN4",1.00708715779221e-07,-8.08459823239521,0,0.013,0.0049330150250136,"down"
"ZHX1",1.007087176226e-07,-8.00022791574336,0,0.013,0.00493301511530781,"down"
"FXYD6",1.007087176226e-07,-8.06432559381171,0,0.013,0.00493301511530781,"down"
"RWDD3",1.007087176226e-07,-8.04919683196116,0,0.013,0.00493301511530781,"down"
"TNFSF13",1.007087176226e-07,-7.95346983058556,0,0.013,0.00493301511530781,"down"
